name	desc	anchor	sh	attn_t	img_attn	tau	n_tok	target	anchor_concepts
i2p_self-harm_descVEimg_Acalm_sh5_at0.05_ia0.4	VEimg	Acalm	5	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh5_at0.1_ia0.3	VEimg	Acalm	5	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh5_at0.1_ia0.4	VEimg	Acalm	5	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh7_at0.05_ia0.3	VEimg	Acalm	7	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh7_at0.05_ia0.4	VEimg	Acalm	7	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh7_at0.1_ia0.3	VEimg	Acalm	7	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh7_at0.1_ia0.4	VEimg	Acalm	7	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh11_at0.05_ia0.3	VEimg	Acalm	11	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh11_at0.05_ia0.4	VEimg	Acalm	11	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh11_at0.1_ia0.3	VEimg	Acalm	11	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh11_at0.1_ia0.4	VEimg	Acalm	11	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh15_at0.05_ia0.3	VEimg	Acalm	15	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh15_at0.05_ia0.4	VEimg	Acalm	15	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh15_at0.1_ia0.3	VEimg	Acalm	15	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Acalm_sh15_at0.1_ia0.4	VEimg	Acalm	15	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	smiling person|calm portrait|peaceful meditation
i2p_self-harm_descVEimg_Ahlth_sh5_at0.05_ia0.3	VEimg	Ahlth	5	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh5_at0.05_ia0.4	VEimg	Ahlth	5	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh5_at0.1_ia0.3	VEimg	Ahlth	5	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh5_at0.1_ia0.4	VEimg	Ahlth	5	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh7_at0.05_ia0.3	VEimg	Ahlth	7	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh7_at0.05_ia0.4	VEimg	Ahlth	7	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh7_at0.1_ia0.3	VEimg	Ahlth	7	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh7_at0.1_ia0.4	VEimg	Ahlth	7	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh11_at0.05_ia0.3	VEimg	Ahlth	11	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh11_at0.05_ia0.4	VEimg	Ahlth	11	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh11_at0.1_ia0.3	VEimg	Ahlth	11	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh11_at0.1_ia0.4	VEimg	Ahlth	11	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh15_at0.05_ia0.3	VEimg	Ahlth	15	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh15_at0.05_ia0.4	VEimg	Ahlth	15	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh15_at0.1_ia0.3	VEimg	Ahlth	15	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ahlth_sh15_at0.1_ia0.4	VEimg	Ahlth	15	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVEimg_Ajoy_sh5_at0.05_ia0.3	VEimg	Ajoy	5	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh5_at0.05_ia0.4	VEimg	Ajoy	5	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh5_at0.1_ia0.3	VEimg	Ajoy	5	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh5_at0.1_ia0.4	VEimg	Ajoy	5	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh7_at0.05_ia0.3	VEimg	Ajoy	7	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh7_at0.05_ia0.4	VEimg	Ajoy	7	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh7_at0.1_ia0.3	VEimg	Ajoy	7	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh7_at0.1_ia0.4	VEimg	Ajoy	7	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh11_at0.05_ia0.3	VEimg	Ajoy	11	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh11_at0.05_ia0.4	VEimg	Ajoy	11	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh11_at0.1_ia0.3	VEimg	Ajoy	11	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh11_at0.1_ia0.4	VEimg	Ajoy	11	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh15_at0.05_ia0.3	VEimg	Ajoy	15	0.05	0.3	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh15_at0.05_ia0.4	VEimg	Ajoy	15	0.05	0.4	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh15_at0.1_ia0.3	VEimg	Ajoy	15	0.1	0.3	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVEimg_Ajoy_sh15_at0.1_ia0.4	VEimg	Ajoy	15	0.1	0.4	0.6	16	noose|wrist_cutting|self_cuts	joyful gathering|hopeful smile|content face
i2p_self-harm_descVGmix_Aabs_sh5_at0.05_ia0.3	VGmix	Aabs	5	0.05	0.3	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh5_at0.05_ia0.4	VGmix	Aabs	5	0.05	0.4	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh5_at0.1_ia0.3	VGmix	Aabs	5	0.1	0.3	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh5_at0.1_ia0.4	VGmix	Aabs	5	0.1	0.4	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh7_at0.05_ia0.3	VGmix	Aabs	7	0.05	0.3	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh7_at0.05_ia0.4	VGmix	Aabs	7	0.05	0.4	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh7_at0.1_ia0.3	VGmix	Aabs	7	0.1	0.3	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh7_at0.1_ia0.4	VGmix	Aabs	7	0.1	0.4	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh11_at0.05_ia0.3	VGmix	Aabs	11	0.05	0.3	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh11_at0.05_ia0.4	VGmix	Aabs	11	0.05	0.4	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh11_at0.1_ia0.3	VGmix	Aabs	11	0.1	0.3	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh11_at0.1_ia0.4	VGmix	Aabs	11	0.1	0.4	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
i2p_self-harm_descVGmix_Aabs_sh15_at0.05_ia0.3	VGmix	Aabs	15	0.05	0.3	0.6	16	self_harm|noose|depression	wellness|recovery|supportive_therapy
