version,config,full_name,nn,sr,relevant_sr,trigger,mask_area,n_images,config_dir,qwen_file
v14,image_hybrid_ss2.0_st0.3,v14/image_hybrid_ss2.0_st0.3,58.5400,55.3797,57.9470,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss2.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss2.0_st0.3/results.txt
v14,image_hybrid_ss2.0_st0.4,v14/image_hybrid_ss2.0_st0.4,58.5400,54.7468,57.0957,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss2.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss2.0_st0.4/results.txt
v14,image_hybrid_ss3.0_st0.2,v14/image_hybrid_ss3.0_st0.2,45.2500,58.8608,62.8378,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss3.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss3.0_st0.2/results.txt
v14,image_hybrid_ss3.0_st0.3,v14/image_hybrid_ss3.0_st0.3,46.8400,58.5443,62.5000,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss3.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss3.0_st0.3/results.txt
v14,image_hybrid_ss3.0_st0.4,v14/image_hybrid_ss3.0_st0.4,48.4200,,,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss3.0_st0.4,
v14,image_hybrid_ss5.0_st0.2,v14/image_hybrid_ss5.0_st0.2,29.7500,64.2405,69.2833,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss5.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss5.0_st0.2/results.txt
v14,image_hybrid_ss5.0_st0.3,v14/image_hybrid_ss5.0_st0.3,31.3300,63.9241,69.4158,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss5.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss5.0_st0.3/results.txt
v14,image_hybrid_ss5.0_st0.4,v14/image_hybrid_ss5.0_st0.4,34.1800,62.3418,67.9310,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss5.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_hybrid_ss5.0_st0.4/results.txt
v14,text_dag_adaptive_ss1.0_st0.2,v14/text_dag_adaptive_ss1.0_st0.2,33.5400,66.4557,71.6724,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss1.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss1.0_st0.2/results.txt
v14,text_dag_adaptive_ss1.0_st0.3,v14/text_dag_adaptive_ss1.0_st0.3,35.4400,64.2405,69.5205,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss1.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss1.0_st0.3/results.txt
v14,text_dag_adaptive_ss1.0_st0.4,v14/text_dag_adaptive_ss1.0_st0.4,36.7100,60.4430,65.1877,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss1.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss1.0_st0.4/results.txt
v14,text_dag_adaptive_ss2.0_st0.2,v14/text_dag_adaptive_ss2.0_st0.2,16.1400,68.9873,82.8897,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss2.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_text_dag_adaptive_ss2.0_st0.2/results.txt
