table,backbone,method,concept,sr,safe,partial,full,nr,total,source
mja,flux1,SAFREE,illegal,42.0,11.0,31.0,48.0,10.0,100,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/flux1/safree/mja/mja_illegal/all/results_qwen3_vl_illegal_v5.txt
mja,flux1,SAFREE,disturbing,62.0,3.0,59.0,37.0,1.0,100,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/flux1/safree/mja/mja_disturbing/all/results_qwen3_vl_disturbing_v5.txt
mja,flux1,SAFREE + SafeDenoiser,sexual,58.0,5.0,53.0,41.0,1.0,100,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/flux1/safedenoiser/mja/mja_sexual/all/results_qwen3_vl_nudity_v5.txt
mja,flux1,SAFREE + SafeDenoiser,violence,4.0,1.0,3.0,96.0,0.0,100,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/flux1/safedenoiser/mja/mja_violent/all/results_qwen3_vl_violence_v5.txt
mja,flux1,SAFREE + SafeDenoiser,illegal,34.0,11.0,23.0,64.0,2.0,100,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/flux1/safedenoiser/mja/mja_illegal/all/results_qwen3_vl_illegal_v5.txt
mja,flux1,SAFREE + SafeDenoiser,disturbing,59.0,3.0,56.0,41.0,0.0,100,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/flux1/safedenoiser/mja/mja_disturbing/all/results_qwen3_vl_disturbing_v5.txt
mja,flux1,SAFREE + SGF,sexual,58.0,6.0,52.0,41.0,1.0,100,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/flux1/sgf/mja/mja_sexual/all/results_qwen3_vl_nudity_v5.txt
mja,flux1,SAFREE + SGF,violence,2.0,0.0,2.0,98.0,0.0,100,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/flux1/sgf/mja/mja_violent/all/results_qwen3_vl_violence_v5.txt
mja,flux1,SAFREE + SGF,illegal,36.0,8.0,28.0,61.0,3.0,100,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/flux1/sgf/mja/mja_illegal/all/results_qwen3_vl_illegal_v5.txt
mja,flux1,SAFREE + SGF,disturbing,56.0,2.0,54.0,43.0,1.0,100,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/launch_0426_full_sweep/paper_results/reproduce/sd14_q16_repro_ours_baselines_20260430/outputs/crossbackbone_0501/flux1/sgf/mja/mja_disturbing/all/results_qwen3_vl_disturbing_v5.txt
